,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
142,Tottenham,Man Utd,1,2,1.3782823975378644,1.6782041563083272,1.4664093441228618,1.0543038346102542,6.363783891569669,7.029869009194304,7.528584363855126,5.744577693494605,11.259102733355672,9.971442608566552,10.354370979718116,11.500570330864344
143,Watford,Leicester,0,2,1.3796270850567027,1.6846633792228793,1.6108058050527463,1.3605754267482397,6.285293439792494,8.196794364187452,7.146098285102992,6.4170988994507985,14.075890087859058,9.519673950837024,10.428584757847847,12.573745012746453
144,Aston Villa,Chelsea,1,2,1.1619176568942975,1.928581023552771,2.2553849812256574,1.0495099671736734,5.235769946600659,9.581582208891293,10.185548175532903,4.271162057534243,12.22246540500916,8.564694187209508,7.887571509975561,14.495367103708558
145,Norwich,Southampton,1,2,1.0455986347839694,1.4735200462399125,1.8446974845526927,1.4214957825894978,5.964125704932046,5.528029995920497,8.103873775833414,6.373702770161277,12.29271817948342,7.911204643738576,9.201082028245963,11.089299581915995
146,West Ham,Wolves,0,2,1.254038054732109,1.6697238765557874,1.8690375351498614,1.1297195386891699,6.191899348527956,4.807978617561447,8.283237695416092,5.392126680624605,13.831993423049175,13.152510000460817,9.820343865566507,10.515246933990424
147,Everton,Liverpool,2,5,1.6959403618204956,2.166809009148608,1.302424626179366,0.9208495444827651,5.660988951062823,11.553715213658556,5.486903990250553,4.1435284409860165,9.226501152880356,8.555573357013,11.25860971142918,24.2926398446232
148,Newcastle United,Sheffield United,2,0,0.8344141959744611,1.2460602102515732,1.8021226184860404,1.2936384045060376,3.2046786300322765,5.442457573142015,8.750294413785188,6.592142144544551,23.28426987020749,14.458044802108446,6.422383809330487,13.529052749986402
149,Brighton,Arsenal,2,1,1.3412782863388604,1.3795101079872096,1.5326490862992532,1.5700036475021504,6.980599735259268,7.42935105029458,6.77410819184067,6.641723617851904,9.344256048899059,12.146462873136155,14.09579031626754,11.270337482801345
150,Chelsea,Everton,1,3,1.9259507795673483,1.649555161632036,1.0395336270071933,1.2821369049538625,9.398340582144963,5.569968371383131,4.347863133224376,5.454421352395462,8.789193454088732,9.562482047164547,14.678383267007852,11.365272852260535
151,Crystal Palace,Watford,0,0,0.9880140535109894,1.3989055320674826,1.4565056799385516,1.556620424244279,6.6645802915911005,6.423623725547287,7.678629803290431,7.183295818306204,13.15734774426181,13.783358233694706,7.799460069303036,10.541080190744658
152,Liverpool,Bournemouth,3,0,2.145094597172216,1.118135265434495,0.9051653524556007,1.8448465526865476,11.518852687347984,5.189644177777215,4.014830920850527,8.920262519358142,8.394506416561079,14.861721449502802,24.81211040778083,8.56538988307371
153,Burnley,Tottenham,0,5,1.3066610352311152,1.3978056251688953,1.4310470365209507,1.5367164297645737,3.134759918532423,6.419947909215853,6.583846047883155,7.7459236685629484,12.053101983766465,11.461101463006703,9.078898905510906,10.395513109187462
154,Man Utd,Man City,2,1,1.6819380990177835,2.5555409781757508,1.0649565365344573,1.0445019830174824,7.0850645039213624,14.127515080688832,5.810583226687902,3.4506922707161767,10.26705353575828,8.161583203957923,11.369902103833663,23.847613470072567
155,Leicester,Aston Villa,4,1,1.6956672516901168,1.155540421910744,1.374097405196058,2.2746639773330064,8.193623946081297,5.25419405309764,6.361361009039986,9.969376075017923,9.436759054086519,12.22317242866353,12.595414643640826,7.854340499297457
156,Sheffield United,Norwich,2,1,1.2435508930155947,1.1032151268990482,1.366878439171394,1.8094663096749786,5.284881682520442,5.953513230508369,6.6289864887768575,8.144631883595153,14.603424776365234,12.154823611211272,11.589830431206071,9.204670230239277
157,Southampton,Newcastle United,1,2,1.41478171091868,0.9280787623042127,1.5045405593559642,1.7760382442146523,5.348437031669851,3.2508830524296375,6.435499260601386,8.444864069853883,8.030824008541916,21.247306367502247,10.790095008486482,6.596967640591966
158,Wolves,Brighton,2,2,1.634314459891005,1.2919849671047376,1.1266450802373105,1.530152014170187,4.7046157929586085,7.008041545143666,5.417339312586963,6.619837474197113,13.566578996670419,9.36824126936564,10.501485577002391,14.379470148301838
159,Arsenal,West Ham,3,1,1.3997814216504483,1.2993901540252895,1.5727195189916467,1.8568654765485975,7.4570052478998505,6.407910545230347,6.897091603533228,8.31475765972466,12.079361473795828,14.341974427102873,11.823275932839728,9.919198366622178
160,Watford,Liverpool,0,2,1.39227420637777,2.1105036201403786,1.608384825176751,0.9340329429346623,6.401455407299106,11.231116252245982,7.3826533497795195,4.092324417806317,13.928872011913734,8.371218201813429,10.6003525057733,24.112576192695478
